City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Saint Anthony,US,45.0205,-93.218,16.66,69,75,11.5,broken clouds
81,Apodi,BR,-5.6642,-37.7989,93.7,33,0,8.1,clear sky
82,Taber,CA,49.8167,-112.1518,30.07,96,99,12.66,overcast clouds
83,Asau,RO,46.4333,26.4,44.4,80,98,3.24,overcast clouds
84,Salalah,OM,17.0151,54.0924,74.26,41,0,3.67,clear sky
85,Viedma,AR,-40.8135,-62.9967,88.59,19,0,13.6,clear sky
86,Nanortalik,GL,60.1432,-45.2371,12.38,64,46,47.36,scattered clouds
87,Alofi,NU,-19.0595,-169.9187,69.69,100,29,1.14,scattered clouds
88,Rawson,AR,-43.3002,-65.1023,78.31,34,6,7.52,clear sky
89,Atambua,ID,-9.1061,124.8925,73.83,86,11,3.78,few clouds
90,Avarua,CK,-21.2078,-159.775,75.25,88,20,13.8,light rain
91,Talnakh,RU,69.4865,88.3972,-14.73,83,34,4.29,scattered clouds
92,Ludvika,SE,60.1496,15.1878,37.33,93,100,11.95,overcast clouds
93,Poum,NC,-20.2333,164.0167,80.98,77,22,5.14,few clouds
94,Ilulissat,GL,69.2167,-51.1,-3.66,95,100,1.19,overcast clouds
95,Bethel,US,41.3712,-73.414,22.15,57,0,5.75,clear sky
96,Tiksi,RU,71.6872,128.8694,-16.92,94,23,2.71,few clouds
97,Venta,LT,56.2,22.7,39.88,85,100,13.2,overcast clouds
98,Mahebourg,MU,-20.4081,57.7,82.69,83,75,6.91,broken clouds
99,Abu Dhabi,AE,24.4667,54.3667,75.31,64,0,9.22,clear sky
100,Turinsk,RU,58.0458,63.696,7.11,99,86,6.26,overcast clouds
101,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,20,17.27,few clouds
102,Longyearbyen,SJ,78.2186,15.6401,15.64,86,75,6.91,light shower snow
103,Saint George,US,37.1041,-113.5841,55.35,17,0,17.27,clear sky
104,Riyadh,SA,24.6877,46.7219,75.34,15,0,6.78,clear sky
105,Ler,SS,8.3018,30.1418,98.17,8,18,5.57,few clouds
106,Martapura,ID,-3.4167,114.85,78.89,89,100,3.44,moderate rain
107,Sambava,MG,-14.2667,50.1667,80.28,86,100,7.07,moderate rain
108,Anadyr,RU,64.75,177.4833,-32.01,73,60,8.95,fog
109,Edd,ER,13.9297,41.6925,83.21,57,2,19.1,clear sky
110,Mao,ES,39.8885,4.2658,54.16,82,75,6.91,broken clouds
111,New Norfolk,AU,-42.7826,147.0587,62.1,98,61,2.1,broken clouds
112,Faya,SA,18.3851,42.4509,66.31,65,36,7.07,scattered clouds
113,Ekhabi,RU,53.5102,142.9671,-5.26,97,99,15.59,overcast clouds
114,Bergerac,FR,44.8333,0.5,53.53,87,100,4.61,overcast clouds
115,Ryotsu,JP,38.0833,138.4333,39.96,69,94,17.38,overcast clouds
116,Gao,ML,16.6362,1.637,92.62,6,5,0.98,clear sky
117,Nioro,GM,13.35,-15.75,97.2,8,82,10.18,broken clouds
118,Erenhot,CN,43.6475,111.9767,-5.75,95,47,3.04,scattered clouds
119,Inongo,CD,-1.95,18.2667,84.16,53,8,3.62,clear sky
120,Haines Junction,CA,60.7522,-137.5108,8.55,85,100,3.44,overcast clouds
121,Vardo,NO,70.3705,31.1107,28.6,68,98,27.16,light snow
122,Touros,BR,-5.1989,-35.4608,88.7,57,16,13.4,few clouds
123,Bay Roberts,CA,47.5999,-53.2648,21.33,79,100,8.01,overcast clouds
124,Greencastle,US,39.6445,-86.8647,30.69,74,0,9.22,clear sky
125,Ukiah,US,39.1502,-123.2078,43.99,84,0,0.0,clear sky
126,Jacareacanga,BR,-6.2222,-57.7528,72.75,99,100,0.2,overcast clouds
127,Fandriana,MG,-20.2333,47.3833,65.44,94,94,6.6,light rain
128,Pangnirtung,CA,66.1451,-65.7125,-34.6,67,20,0.0,few clouds
129,Libourne,FR,44.9167,-0.25,53.87,81,100,12.26,light rain
130,Enid,US,36.3956,-97.8784,51.15,43,0,20.71,clear sky
131,Tura,IN,25.5198,90.2201,59.36,50,0,2.98,clear sky
132,Badiraguato,MX,25.3667,-107.5167,67.08,21,16,3.15,few clouds
133,Palmer,US,42.1584,-72.3287,20.44,43,0,4.61,clear sky
134,Upernavik,GL,72.7868,-56.1549,-13.29,86,100,8.1,overcast clouds
135,Dalhousie,IN,32.5333,75.9833,38.55,68,1,5.59,clear sky
136,Parker,US,32.7668,-97.8003,51.82,79,0,1.01,clear sky
137,Khash,IR,28.2211,61.2158,56.1,30,0,2.84,clear sky
138,Hasaki,JP,35.7333,140.8333,37.8,72,5,10.18,clear sky
139,Cidreira,BR,-30.1811,-50.2056,78.1,53,0,8.08,clear sky
140,Chuy,UY,-33.6971,-53.4616,83.17,33,0,2.62,clear sky
141,Katsuura,JP,35.1333,140.3,42.91,64,7,20.89,clear sky
142,Pecos,US,31.4229,-103.4932,45.05,48,0,3.44,clear sky
143,Margate,GB,51.3813,1.3862,49.96,87,100,8.99,light rain
144,Sri Aman,MY,1.2376,111.4621,78.85,94,100,0.0,overcast clouds
145,Mackay,AU,-21.15,149.2,78.78,83,75,23.02,broken clouds
146,Sierra Vista,US,31.5545,-110.3037,53.02,17,0,9.22,clear sky
147,Vila Velha,BR,-20.3297,-40.2925,89.55,76,20,8.05,few clouds
148,Ancud,CL,-41.8697,-73.8203,65.43,77,85,5.68,overcast clouds
149,Port Elizabeth,ZA,-33.918,25.5701,75.49,69,0,18.41,clear sky
150,Bemidji,US,47.4736,-94.8803,8.28,84,100,12.66,overcast clouds
151,Suntar,RU,62.1444,117.6319,-16.42,100,94,2.62,overcast clouds
152,Sabancuy,MX,18.9667,-91.1833,68.81,67,18,7.36,few clouds
153,Bandarbeyla,SO,9.4942,50.8122,76.48,57,0,16.13,clear sky
154,Lesozavodsk,RU,45.4794,133.4244,13.6,95,100,6.2,overcast clouds
155,Hobart,AU,-42.8794,147.3294,62.46,77,100,8.05,overcast clouds
156,Ribeira Grande,PT,38.5167,-28.7,64.8,88,75,11.5,broken clouds
157,Kopavogur,IS,64.1123,-21.913,30.42,93,100,18.41,overcast clouds
158,Clyde River,CA,70.4692,-68.5914,-27.17,75,0,2.3,mist
159,Fortuna,US,40.5982,-124.1573,42.33,92,75,5.75,broken clouds
160,Lebu,CL,-37.6167,-73.65,62.55,72,11,5.82,few clouds
161,Padang,ID,-0.9492,100.3543,79.81,84,99,4.68,moderate rain
162,Half Moon Bay,US,37.4636,-122.4286,47.25,76,0,14.97,clear sky
163,Togur,RU,58.3631,82.8265,8.91,95,100,6.85,light snow
164,Bulolo,PG,-7.2,146.65,71.2,98,100,0.76,moderate rain
165,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,0.0,light snow
166,Hami,CN,42.8,93.45,32.47,48,100,6.11,overcast clouds
167,Romans-Sur-Isere,FR,45.0464,5.0562,51.84,60,75,17.27,broken clouds
168,Luderitz,NA,-26.6481,15.1594,72.81,75,5,12.55,clear sky
169,Sola,VU,-13.8833,167.55,81.75,74,100,6.2,overcast clouds
170,Grand Gaube,MU,-20.0064,57.6608,82.8,75,41,5.01,scattered clouds
171,Karratha,AU,-20.7377,116.8463,89.82,55,40,8.08,scattered clouds
172,Coihaique,CL,-45.5752,-72.0662,63.21,59,75,4.61,broken clouds
173,Marathon,US,44.9,-89.7668,15.19,74,75,8.05,broken clouds
174,Tsumeb,NA,-19.2333,17.7167,81.95,56,100,5.37,overcast clouds
175,Maragogi,BR,-9.0122,-35.2225,86.9,49,12,11.16,few clouds
176,Qeshm,IR,26.9581,56.2719,76.89,45,0,5.97,clear sky
177,Naze,JP,28.3667,129.4833,52.97,68,68,14.47,broken clouds
178,Taoudenni,ML,22.6783,-3.9836,76.95,14,100,16.75,overcast clouds
179,Zeya,RU,53.75,127.2667,-0.92,90,99,3.87,overcast clouds
180,Bima,ID,-8.4667,118.7167,76.26,93,12,2.95,few clouds
181,Tourlaville,FR,49.6383,-1.5664,50.59,93,100,25.32,light rain
182,Carnarvon,AU,-24.8667,113.6333,86.07,66,6,20.71,clear sky
183,Roebourne,AU,-20.7833,117.1333,90.05,53,92,8.86,overcast clouds
184,Malanje,AO,-9.5402,16.341,72.14,80,100,1.52,light rain
185,Batagay,RU,67.6333,134.6333,-35.7,99,12,2.37,few clouds
186,Te Anau,NZ,-45.4167,167.7167,53.13,96,100,2.86,light rain
187,Anderson,US,34.5334,-82.6499,44.64,51,0,9.22,clear sky
188,Moose Factory,CA,51.2585,-80.6094,-14.8,64,0,13.8,clear sky
189,Hamilton,US,39.1834,-84.5333,33.24,70,82,3.0,broken clouds
190,Isangel,VU,-19.55,169.2667,78.66,86,94,9.73,overcast clouds
191,San Patricio,US,28.017,-97.5169,65.93,71,12,6.51,few clouds
192,Ongandjera,NA,-17.8833,15.0667,76.64,61,100,1.36,light rain
193,Port Hawkesbury,CA,45.6169,-61.3485,15.87,81,100,18.41,haze
194,Port Hedland,AU,-20.3167,118.5667,86.05,89,99,6.91,overcast clouds
195,Price,US,39.5994,-110.8107,34.72,54,95,1.9,overcast clouds
196,Redlands,US,34.0556,-117.1825,55.15,79,54,1.01,broken clouds
197,Turayf,SA,31.6725,38.6637,59.25,41,0,11.5,clear sky
198,Mount Gambier,AU,-37.8333,140.7667,57.11,88,100,5.75,overcast clouds
199,Pevek,RU,69.7008,170.3133,-21.21,99,100,4.03,overcast clouds
200,Isetskoye,RU,56.4858,65.3226,1.06,99,62,5.12,broken clouds
201,Cabo San Lucas,MX,22.8909,-109.9124,72.52,39,0,5.5,clear sky
202,Little Chute,US,44.28,-88.3184,18.72,74,75,3.44,broken clouds
203,Faanui,PF,-16.4833,-151.75,81.05,74,90,15.59,overcast clouds
204,Nouakchott,MR,18.0858,-15.9785,85.93,21,99,17.09,overcast clouds
205,Onalaska,US,43.8844,-91.2351,21.42,70,97,1.99,overcast clouds
206,Port Alfred,ZA,-33.5906,26.891,80.37,72,45,28.1,scattered clouds
207,Hithadhoo,MV,-0.6,73.0833,82.81,69,86,13.73,overcast clouds
208,Codrington,AU,-38.2667,141.9667,57.99,83,100,6.87,overcast clouds
209,Nkhata Bay,MW,-11.6066,34.2907,73.56,87,99,3.4,light rain
210,Namibe,AO,-15.1961,12.1522,86.63,54,40,14.97,scattered clouds
211,Thompson,CA,55.7435,-97.8558,-20.04,76,100,0.0,overcast clouds
212,Beloha,MG,-25.1667,45.05,81.14,72,1,19.48,clear sky
213,Guane,CU,22.2025,-84.0875,72.34,60,100,15.28,overcast clouds
214,San Luis,AR,-33.295,-66.3356,90.16,15,0,7.23,clear sky
215,Fort Nelson,CA,58.8053,-122.7002,-9.81,77,75,3.44,broken clouds
216,Husainabad,IN,24.5333,84.0167,62.89,37,0,4.09,clear sky
217,Deniliquin,AU,-35.5333,144.9667,70.0,37,6,6.67,clear sky
218,Jieshi,CN,22.8134,115.8257,63.95,81,6,18.41,clear sky
219,Kununurra,AU,-15.7667,128.7333,78.78,89,40,2.3,scattered clouds
220,Kamalpur,IN,24.2,91.8333,59.94,53,0,0.47,clear sky
221,Semenivka,UA,52.1783,32.5818,27.68,88,6,8.52,clear sky
222,Port Lincoln,AU,-34.7333,135.8667,65.01,86,100,10.78,light rain
223,Severo-Kurilsk,RU,50.6789,156.125,25.79,70,100,8.79,overcast clouds
224,Nerchinskiy Zavod,RU,51.3088,119.61,-16.13,100,97,1.41,overcast clouds
