City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lukovetskiy,RU,2022-02-12 15:50:03,64.2956,41.9211,19.38,95,100,6.42
68,Port Elizabeth,ZA,2022-02-12 15:50:04,-33.918,25.5701,79.09,78,0,21.85
69,Rorvik,NO,2022-02-12 15:50:05,64.8621,11.2373,34.68,80,100,13.09
70,Cape Town,ZA,2022-02-12 15:49:07,-33.9258,18.4232,75.11,67,0,13.8
71,Mangaratiba,BR,2022-02-12 15:50:09,-22.9597,-44.0406,81.03,88,72,4.29
72,Saint-Philippe,RE,2022-02-12 15:38:12,-21.3585,55.7679,80.19,78,16,5.95
73,Golden,US,2022-02-12 15:50:01,39.7555,-105.2211,30.09,67,72,1.99
74,Velsk,RU,2022-02-12 15:50:11,61.0701,42.0983,20.12,88,100,9.19
75,Cap Malheureux,MU,2022-02-12 15:50:12,-19.9842,57.6142,81.09,73,74,1.01
76,Hermanus,ZA,2022-02-12 15:49:38,-34.4187,19.2345,74.89,81,96,6.87
77,Zigong,CN,2022-02-12 15:50:14,29.3416,104.7769,48.56,84,100,5.17
78,Kulhudhuffushi,MV,2022-02-12 15:50:15,6.6221,73.07,81.84,72,100,8.48
79,Buala,SB,2022-02-12 15:50:16,-8.145,159.5921,76.69,86,100,2.66
80,Port Hardy,CA,2022-02-12 15:45:43,50.6996,-127.4199,37.76,100,100,3.44
81,Woodward,US,2022-02-12 15:50:18,36.4337,-99.3904,27.52,55,0,5.75
82,Ribeira Grande,PT,2022-02-12 15:50:20,38.5167,-28.7,64.8,77,75,19.57
83,Caucaia,BR,2022-02-12 15:50:21,-3.7361,-38.6531,87.75,71,40,12.66
84,Bosaso,SO,2022-02-12 15:50:22,11.2842,49.1816,76.26,65,15,5.57
85,Huarmey,PE,2022-02-12 15:43:13,-10.0681,-78.1522,75.27,73,78,8.9
86,Nemours,FR,2022-02-12 15:50:24,48.2751,2.6908,50.95,54,17,5.97
